Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-18 00:00:00+05:30,2422.0,2463.0,2420.14990234375,2451.25,5729899,0.0,0.0
2022-10-19 00:00:00+05:30,2454.5,2527.85009765625,2441.699951171875,2493.89990234375,8882553,0.0,0.0
2022-10-20 00:00:00+05:30,2485.0,2519.0,2485.0,2500.60009765625,4022919,0.0,0.0
2022-10-21 00:00:00+05:30,2507.699951171875,2516.800048828125,2467.0,2471.60009765625,3804352,0.0,0.0
2022-10-24 00:00:00+05:30,2460.0,2502.5,2455.300048828125,2479.85009765625,1555270,0.0,0.0
2022-10-25 00:00:00+05:30,2499.0,2499.0,2438.0,2441.550048828125,5645639,0.0,0.0
2022-10-27 00:00:00+05:30,2458.0,2468.449951171875,2432.800048828125,2451.14990234375,5774775,0.0,0.0
2022-10-28 00:00:00+05:30,2465.0,2535.0,2459.449951171875,2526.14990234375,8126824,0.0,0.0
2022-10-31 00:00:00+05:30,2541.0,2560.949951171875,2532.199951171875,2549.60009765625,5731802,0.0,0.0
2022-11-01 00:00:00+05:30,2600.0,2600.0,2508.0,2529.85009765625,6443999,0.0,0.0
2022-11-02 00:00:00+05:30,2532.300048828125,2550.199951171875,2515.0,2545.64990234375,4145144,0.0,0.0
2022-11-03 00:00:00+05:30,2529.85009765625,2559.550048828125,2525.050048828125,2555.14990234375,3089026,0.0,0.0
2022-11-04 00:00:00+05:30,2553.89990234375,2600.0,2551.10009765625,2592.75,5803737,0.0,0.0
2022-11-07 00:00:00+05:30,2591.0,2610.300048828125,2574.0,2606.60009765625,5440967,0.0,0.0
2022-11-09 00:00:00+05:30,2610.300048828125,2621.949951171875,2590.050048828125,2604.0,5193814,0.0,0.0
2022-11-10 00:00:00+05:30,2590.0,2596.550048828125,2563.0,2572.5,2753420,0.0,0.0
2022-11-11 00:00:00+05:30,2600.0,2636.0,2588.0,2631.800048828125,5681124,0.0,0.0
2022-11-14 00:00:00+05:30,2630.75,2642.0,2605.14990234375,2619.050048828125,4173395,0.0,0.0
2022-11-15 00:00:00+05:30,2622.300048828125,2626.39990234375,2590.0,2607.300048828125,3270388,0.0,0.0
2022-11-16 00:00:00+05:30,2610.0,2615.949951171875,2581.35009765625,2592.35009765625,4484007,0.0,0.0
2022-11-17 00:00:00+05:30,2584.949951171875,2613.0,2580.0,2599.050048828125,3074259,0.0,0.0
2022-11-18 00:00:00+05:30,2606.75,2609.0,2571.10009765625,2597.64990234375,2447425,0.0,0.0
2022-11-21 00:00:00+05:30,2588.0,2588.0,2543.10009765625,2550.89990234375,2949108,0.0,0.0
2022-11-22 00:00:00+05:30,2545.0,2568.5,2536.5,2565.050048828125,3051201,0.0,0.0
2022-11-23 00:00:00+05:30,2575.0,2577.89990234375,2552.25,2557.050048828125,2959787,0.0,0.0
2022-11-24 00:00:00+05:30,2566.0,2594.0,2548.199951171875,2579.10009765625,4333225,0.0,0.0
2022-11-25 00:00:00+05:30,2589.0,2624.89990234375,2582.10009765625,2617.60009765625,3391988,0.0,0.0
2022-11-28 00:00:00+05:30,2608.89990234375,2721.050048828125,2502.0,2707.550048828125,14549929,0.0,0.0
2022-11-29 00:00:00+05:30,2703.949951171875,2731.64990234375,2694.0,2712.199951171875,5103687,0.0,0.0
2022-11-30 00:00:00+05:30,2712.5,2745.449951171875,2698.199951171875,2731.35009765625,12075137,0.0,0.0
2022-12-01 00:00:00+05:30,2741.800048828125,2755.0,2716.0,2723.300048828125,4377696,0.0,0.0
